"Game Reference,Date,Player Name,Player Reference,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS"
"202303120PHI,3/12/2023,Daniel Gafford,gaffoda01,21.28,3,0.667,0,0,,3,4,0.75,1,2,3,0,0,0,0,2,7,10"
"202304020CHI,4/2/2023,Xavier Tillman Sr.,tillmxa01,29.58,2,1,0,0,,2,4,0.5,2,6,8,1,0,0,2,4,6,8"
"202304070SAC,4/7/2023,Alex Len,lenal01,16.27,3,0.667,0,0,,1,2,0.5,5,1,6,2,0,1,2,2,5,8"
"202304090LAL,4/9/2023,Udoka Azubuike,azubuud01,26.32,6,1,0,0,,0,1,0,2,4,6,1,0,1,0,2,12,13"
"202304150PHI,4/15/2023,Nic Claxton,claxtni01,30.11,4,0.5,0,0,,1,2,0.5,1,9,10,1,0,3,0,2,5,10"
"202304190MIL,4/19/2023,Bam Adebayo,adebaba01,24.54,16,0.563,0,0,,0,1,0,1,4,5,1,1,0,3,1,18,33"
"202306070MIA,6/7/2023,Bam Adebayo,adebaba01,40.52,21,0.333,0,0,,8,10,0.8,6,11,17,3,0,1,0,2,22,52"
"202012250BOS,12/25/2020,Tristan Thompson,thomptr01,21.25,8,0.375,0,0,,2,2,1,5,3,8,0,0,1,1,5,8,18"
"202012260NYK,12/26/2020,Mitchell Robinson,robinmi01,24.59,8,0.625,0,0,,1,2,0.5,5,4,9,0,1,2,0,3,11,18"
"202101150CLE,1/15/2021,Mitchell Robinson,robinmi01,28.01,5,0.4,0,0,,1,2,0.5,2,4,6,0,3,1,0,4,5,12"
