Game Reference,Date,Team,Period,Starter,Player Name,Player Reference,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Reason
202401300BOS,1/30/2024,BOS,game,TRUE,Jayson Tatum,tatumja01,30.48,12,19,0.632,4,9,0.444,2,3,0.667,0,7,7,7,1,2,2,2,30,-4,
202402010BOS,2/1/2024,BOS,game,TRUE,Jayson Tatum,tatumja01,35.36,8,21,0.381,5,10,0.5,2,2,1,2,5,7,3,1,1,2,3,23,-12,
202402040BOS,2/4/2024,BOS,game,TRUE,Jayson Tatum,tatumja01,38.04,12,22,0.545,6,12,0.5,4,4,1,1,7,8,7,1,0,2,1,34,27,
202402070BOS,2/7/2024,BOS,game,TRUE,Jayson Tatum,tatumja01,38.41,8,21,0.381,2,13,0.154,2,2,1,0,9,9,7,1,0,3,3,20,3,
202402090BOS,2/9/2024,BOS,game,TRUE,Jayson Tatum,tatumja01,38.59,12,22,0.545,3,10,0.3,8,9,0.889,1,9,10,8,1,2,2,1,35,9,
202402110MIA,2/10/2024,BOS,game,TRUE,Jayson Tatum,tatumja01,28.23,11,20,0.55,2,6,0.333,2,2,1,1,9,10,9,0,2,1,1,26,5,
202402130BRK,2/12/2024,BOS,game,TRUE,Jayson Tatum,tatumja01,38.59,14,26,0.538,5,11,0.455,8,8,1,0,14,14,5,2,1,2,3,41,21,
202402140BOS,2/14/2024,BOS,game,TRUE,Jayson Tatum,tatumja01,28.23,7,16,0.438,2,7,0.286,4,5,0.8,1,6,7,9,0,0,1,0,20,27,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
202012220BRK,12/22/2020,BRK,game,TRUE,Kyrie Irving,irvinky01,25.18,10,16,0.625,4,7,0.571,2,2,1,1,3,4,4,0,0,1,3,26,32,
202012250BOS,12/25/2020,BRK,game,TRUE,Kyrie Irving,irvinky01,33.24,13,21,0.619,7,10,0.7,4,4,1,1,5,6,8,1,0,1,4,37,31,
202012270CHO,12/27/2020,BRK,game,TRUE,Kyrie Irving,irvinky01,36.21,10,17,0.588,3,8,0.375,2,2,1,0,3,3,6,1,0,4,1,25,7,
202012300BRK,12/30/2020,BRK,game,TRUE,Kyrie Irving,irvinky01,34.00,10,27,0.37,3,11,0.273,2,2,1,0,2,2,6,2,0,1,4,25,-6,
202101010BRK,1/1/2021,BRK,game,TRUE,Kyrie Irving,irvinky01,33.07,6,21,0.286,2,11,0.182,4,4,1,3,8,11,4,2,0,1,0,18,-3,
202101030BRK,1/3/2021,BRK,game,TRUE,Kyrie Irving,irvinky01,39.03,10,20,0.5,2,7,0.286,8,8,1,0,5,5,10,2,2,5,3,30,11,
